2022-02-18T16-04-21,42445,CALDWELL MEDICAL CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-03-03T09-56-49,42445,CALDWELL MEDICAL CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,42,,
2022-03-03T10-04-44,42445,CALDWELL MEDICAL CENTER,02/28/2022 12:00:00 AM,03/01/2022 12:00:00 AM,42,,
2022-03-08T14-40-56,42445,CALDWELL MEDICAL CENTER,02/28/2022 12:00:00 AM,03/01/2022 12:00:00 AM,42,,
2022-03-16T18-51-35,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,52,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,52,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,52,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,50,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,50,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,50,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,50,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,50,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,50,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,50,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,50,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,42445,CALDWELL MEDICAL CENTER,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
