2022-02-18T16-04-21,63119,TAUC 01 - ROCK HILL,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,63119,TAUC 01 - ROCK HILL,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,63119,TAUC 01 - ROCK HILL,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,63119,TAUC 01 - ROCK HILL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,36,,
2022-03-16T18-51-35,63119,Total Access Urgent Care,NLP,NLP,NLP,38,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,63119,Total Access Urgent Care,NLP,NLP,NLP,38,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,63119,Total Access Urgent Care,NLP,NLP,NLP,38,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,63119,Total Access Urgent Care,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,63119,Total Access Urgent Care,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,63119,Total Access Urgent Care,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,63119,Total Access Urgent Care,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,63119,Total Access Urgent Care,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,63119,Total Access Urgent Care,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,63119,Total Access Urgent Care,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,63119,Total Access Urgent Care,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,63119,Total Access Urgent Care,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,63119,Total Access Urgent Care,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,63119,Total Access Urgent Care,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,63119,Total Access Urgent Care,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,63119,Total Access Urgent Care,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,63119,Total Access Urgent Care,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,63119,Total Access Urgent Care,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,63119,Total Access Urgent Care,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,63119,Total Access Urgent Care,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,63119,Total Access Urgent Care,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,63119,Total Access Urgent Care,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,63119,Total Access Urgent Care,NLP,NLP,NLP,47,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,63119,Total Access Urgent Care,NLP,NLP,NLP,47,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,63119,Total Access Urgent Care,NLP,NLP,NLP,47,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,63119,Total Access Urgent Care,NLP,NLP,NLP,47,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,63119,Total Access Urgent Care,NLP,NLP,NLP,47,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,63119,Total Access Urgent Care,NLP,NLP,NLP,47,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,63119,Total Access Urgent Care,NLP,NLP,NLP,47,03/30/2022 12:00:00 AM
