2022-02-18T16-04-21,27030,Surry Rural Health Center,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,27030,Surry Rural Health Center,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-03T10-04-44,27030,Surry Rural Health Center,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,27030,Surry Rural Health Center,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,27030,NORTHERN REGIONAL HOSPITAL,NLP,NLP,NLP,19,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,27030,SURRY RURAL HEALTH CENTER,NLP,NLP,NLP,33,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,27030,NORTHERN REGIONAL HOSPITAL,NLP,NLP,NLP,19,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,27030,SURRY RURAL HEALTH CENTER,NLP,NLP,NLP,33,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,27030,NORTHERN REGIONAL HOSPITAL,NLP,NLP,NLP,19,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,27030,SURRY RURAL HEALTH CENTER,NLP,NLP,NLP,33,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,27030,NORTHERN REGIONAL HOSPITAL,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,27030,SURRY RURAL HEALTH CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,27030,NORTHERN REGIONAL HOSPITAL,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,27030,SURRY RURAL HEALTH CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,27030,SURRY RURAL HEALTH CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,27030,NORTHERN REGIONAL HOSPITAL,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,27030,SURRY RURAL HEALTH CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,27030,NORTHERN REGIONAL HOSPITAL,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
