2022-02-18T16-04-21,63401,HANNIBAL REGIONAL HOSPITAL,02/16/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,63401,HANNIBAL REGIONAL HOSPITAL,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,72,,
2022-03-03T10-04-44,63401,HANNIBAL REGIONAL HOSPITAL,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,72,,
2022-03-08T14-40-56,63401,HANNIBAL REGIONAL HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,72,,
2022-03-16T18-51-35,63401,HANNIBAL REGIONAL HOSPITAL,NLP,NLP,NLP,67,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,63401,HANNIBAL REGIONAL HOSPITAL,NLP,NLP,NLP,67,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,63401,HANNIBAL REGIONAL HOSPITAL,NLP,NLP,NLP,67,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,63401,HANNIBAL REGIONAL HOSPITAL,NLP,NLP,NLP,65,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,63401,HANNIBAL REGIONAL HOSPITAL,NLP,NLP,NLP,65,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,63401,HANNIBAL REGIONAL HOSPITAL,NLP,NLP,NLP,65,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,63401,HANNIBAL REGIONAL HOSPITAL,NLP,NLP,NLP,65,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,63401,HANNIBAL REGIONAL HOSPITAL,NLP,NLP,NLP,65,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,63401,HANNIBAL REGIONAL HOSPITAL,NLP,NLP,NLP,65,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,63401,HANNIBAL REGIONAL HOSPITAL,NLP,NLP,NLP,65,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,63401,HANNIBAL REGIONAL HOSPITAL,NLP,NLP,NLP,65,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,63401,HANNIBAL REGIONAL HOSPITAL,NLP,NLP,NLP,65,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,63401,HANNIBAL REGIONAL HOSPITAL,NLP,NLP,NLP,65,03/16/2022 12:00:00 AM
