2022-03-08T14-40-56,32308,CDR Health Tallahassee Clinic,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,264,,
2022-03-16T18-51-35,32308,TALLAHASSEE MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,32308,HCA FLORIDA CAPITAL HOSPITAL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,32308,Tallahassee Clinic,NLP,NLP,NLP,653,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,32308,TALLAHASSEE MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,32308,HCA FLORIDA CAPITAL HOSPITAL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,32308,Tallahassee Clinic,NLP,NLP,NLP,653,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,32308,TALLAHASSEE MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,32308,HCA FLORIDA CAPITAL HOSPITAL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,32308,Tallahassee Clinic,NLP,NLP,NLP,653,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,32308,TALLAHASSEE MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,32308,HCA FLORIDA CAPITAL HOSPITAL,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,32308,Tallahassee Clinic,NLP,NLP,NLP,948,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,32308,TALLAHASSEE MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,32308,HCA FLORIDA CAPITAL HOSPITAL,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,32308,Tallahassee Clinic,NLP,NLP,NLP,948,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,32308,TALLAHASSEE MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,32308,HCA FLORIDA CAPITAL HOSPITAL,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,32308,Tallahassee Clinic,NLP,NLP,NLP,948,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,32308,HCA FLORIDA CAPITAL HOSPITAL,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,32308,TALLAHASSEE MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,32308,Tallahassee Clinic,NLP,NLP,NLP,948,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,32308,HCA FLORIDA CAPITAL HOSPITAL,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,32308,TALLAHASSEE MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,32308,Tallahassee Clinic,NLP,NLP,NLP,948,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,32308,TALLAHASSEE MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,32308,HCA FLORIDA CAPITAL HOSPITAL,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,32308,Tallahassee Clinic,NLP,NLP,NLP,948,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,32308,TALLAHASSEE MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
