2022-02-18T16-04-21,47362,Henry County Hospital,02/16/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,47362,Henry County Hospital,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,47362,Henry County Hospital,03/01/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,47362,Henry County Hospital,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,47362,HENRY COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,19,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,47362,HENRY COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,19,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,47362,HENRY COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,19,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,47362,HENRY COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,47362,HENRY COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,47362,HENRY COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,47362,HENRY COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,47362,HENRY COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
