2022-02-18T16-04-21,35974,GERALDINE CLINIC,02/16/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,35974,GERALDINE CLINIC,02/23/2022 12:00:00 AM,02/22/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,35974,GERALDINE CLINIC,02/23/2022 12:00:00 AM,02/28/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,35974,GERALDINE CLINIC,02/23/2022 12:00:00 AM,02/28/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-28T06-21-17,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-30T09-27-07,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-31T08-53-07,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-31T15-09-22,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-04-01T06-54-45,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,35974,The Geraldine Clinic,NLP,NLP,NLP,22,03/30/2022 12:00:00 AM
