2022-03-08T14-40-56,81073,SOUTHEAST CO HOSPITAL DISTRICT,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,30,,
2022-03-18T11-17-38,81073,SOUTHEAST COLORADO HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,81073,SOUTHEAST COLORADO HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,81073,SOUTHEAST COLORADO HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,81073,SOUTHEAST COLORADO HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,81073,SOUTHEAST COLORADO HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,81073,SOUTHEAST COLORADO HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,81073,SOUTHEAST COLORADO HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,81073,SOUTHEAST COLORADO HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,81073,SOUTHEAST COLORADO HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,81073,SOUTHEAST COLORADO HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,81073,SOUTHEAST COLORADO HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,81073,SOUTHEAST COLORADO HOSPITAL,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,81073,SOUTHEAST COLORADO HOSPITAL,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
