2022-02-18T16-04-21,45885,JOINT TWP DIST MEMORIAL HOSPITAL,02/16/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,45885,JOINT TWP DIST MEMORIAL HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,45885,JOINT TWP DIST MEMORIAL HOSPITAL,03/02/2022 12:00:00 AM,02/25/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,45885,JOINT TWP DIST MEMORIAL HOSPITAL,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,45885,GRAND LAKE HEALTH SYSTEM,NLP,NLP,NLP,31,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,45885,GRAND LAKE HEALTH SYSTEM,NLP,NLP,NLP,31,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,45885,GRAND LAKE HEALTH SYSTEM,NLP,NLP,NLP,31,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,45885,GRAND LAKE HEALTH SYSTEM,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,45885,GRAND LAKE HEALTH SYSTEM,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,45885,GRAND LAKE HEALTH SYSTEM,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,45885,GRAND LAKE HEALTH SYSTEM,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,45885,GRAND LAKE HEALTH SYSTEM,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,45885,GRAND LAKE HEALTH SYSTEM,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,45885,GRAND LAKE HEALTH SYSTEM,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,45885,GRAND LAKE HEALTH SYSTEM,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,45885,GRAND LAKE HEALTH SYSTEM,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,45885,GRAND LAKE HEALTH SYSTEM,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,45885,GRAND LAKE HEALTH SYSTEM,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,45885,GRAND LAKE HEALTH SYSTEM,NLP,NLP,NLP,28,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,45885,GRAND LAKE HEALTH SYSTEM,NLP,NLP,NLP,28,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,45885,GRAND LAKE HEALTH SYSTEM,NLP,NLP,NLP,28,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,45885,GRAND LAKE HEALTH SYSTEM,NLP,NLP,NLP,28,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,45885,GRAND LAKE HEALTH SYSTEM,NLP,NLP,NLP,28,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,45885,GRAND LAKE HEALTH SYSTEM,NLP,NLP,NLP,28,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,45885,GRAND LAKE HEALTH SYSTEM,NLP,NLP,NLP,28,03/23/2022 12:00:00 AM
