2022-02-18T16-04-21,65270,MOBERLY REG MED CNTR (CV1060),02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,65270,MOBERLY REG MED CNTR (CV1060),02/28/2022 12:00:00 AM,02/22/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,65270,MOBERLY REG MED CNTR (CV1060),02/28/2022 12:00:00 AM,02/22/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,65270,MOBERLY REG MED CNTR (CV1060),02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,65270,MOBERLY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,65270,MOBERLY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,65270,MOBERLY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,65270,MOBERLY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,65270,MOBERLY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,65270,MOBERLY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,65270,MOBERLY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,65270,MOBERLY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,65270,MOBERLY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,65270,MOBERLY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,65270,MOBERLY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,65270,MOBERLY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,65270,MOBERLY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,65270,MOBERLY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-26T06-57-27,65270,MOBERLY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,65270,MOBERLY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,65270,MOBERLY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
