2022-02-18T16-04-21,85713,BANNER UNIVERSITY MED CENTER TUCSON,02/17/2022 12:00:00 AM,,60,,
2022-03-03T09-56-49,85713,BANNER UNIVERSITY MED CENTER TUCSON,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,210,,
2022-03-03T10-04-44,85713,BANNER UNIVERSITY MED CENTER TUCSON,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,210,,
2022-03-08T14-40-56,85713,BANNER UNIVERSITY MED CENTER TUCSON,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,510,,
2022-03-16T18-51-35,85713,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,NLP,NLP,NLP,476,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,85713,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,NLP,NLP,NLP,476,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,85713,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,NLP,NLP,NLP,476,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,85713,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,NLP,NLP,NLP,570,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,85713,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,NLP,NLP,NLP,570,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,85713,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,NLP,NLP,NLP,570,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,85713,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,NLP,NLP,NLP,570,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,85713,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,NLP,NLP,NLP,570,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,85713,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,NLP,NLP,NLP,570,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,85713,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,NLP,NLP,NLP,570,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,85713,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,NLP,NLP,NLP,570,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,85713,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,NLP,NLP,NLP,570,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,85713,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,NLP,NLP,NLP,570,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,85713,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,NLP,NLP,NLP,570,03/16/2022 12:00:00 AM
