2022-02-18T16-04-21,67502,Hutchinson Regional Medical Center,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,67502,Hutchinson Regional Medical Center,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,67502,Hutchinson Regional Medical Center,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,67502,Hutchinson Regional Medical Center,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,67502,HUTCHINSON REGIONAL MEDICAL CENTER INC,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,67502,HUTCHINSON REGIONAL MEDICAL CENTER INC,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,67502,HUTCHINSON REGIONAL MEDICAL CENTER INC,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,67502,HUTCHINSON REGIONAL MEDICAL CENTER INC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,67502,HUTCHINSON REGIONAL MEDICAL CENTER INC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,67502,HUTCHINSON REGIONAL MEDICAL CENTER INC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,67502,HUTCHINSON REGIONAL MEDICAL CENTER INC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,67502,HUTCHINSON REGIONAL MEDICAL CENTER INC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
