2022-02-18T16-04-21,33064,BROWARD HEALTH NORTH PHCY,02/17/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,33064,BROWARD HEALTH NORTH PHCY,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,72,,
2022-03-03T10-04-44,33064,BROWARD HEALTH NORTH PHCY,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,72,,
2022-03-08T14-40-56,33064,Broward Health North Pharmacy,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,120,,
2022-03-16T18-51-35,33064,BROWARD HEALTH NORTH,NLP,NLP,NLP,258,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,33064,BROWARD HEALTH NORTH,NLP,NLP,NLP,258,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,33064,BROWARD HEALTH NORTH,NLP,NLP,NLP,258,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,33064,BROWARD HEALTH NORTH,NLP,NLP,NLP,258,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,33064,BROWARD HEALTH NORTH,NLP,NLP,NLP,258,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,33064,BROWARD HEALTH NORTH,NLP,NLP,NLP,258,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,33064,BROWARD HEALTH NORTH,NLP,NLP,NLP,258,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,33064,BROWARD HEALTH NORTH,NLP,NLP,NLP,258,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,33064,BROWARD HEALTH NORTH,NLP,NLP,NLP,258,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,33064,BROWARD HEALTH NORTH,NLP,NLP,NLP,258,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,33064,BROWARD HEALTH NORTH,NLP,NLP,NLP,258,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,33064,BROWARD HEALTH NORTH,NLP,NLP,NLP,258,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,33064,BROWARD HEALTH NORTH,NLP,NLP,NLP,258,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,33064,BROWARD HEALTH NORTH,NLP,NLP,NLP,258,03/16/2022 12:00:00 AM
