2022-03-08T14-40-56,33770,GEMD 39,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,54,,
2022-03-16T18-51-35,33770,HCA FLORIDA LARGO HOSPITAL,NLP,NLP,NLP,28,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,33770,GEMD 39,NLP,NLP,NLP,61,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,33770,GEMD 39,NLP,NLP,NLP,61,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,33770,HCA FLORIDA LARGO HOSPITAL,NLP,NLP,NLP,28,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,33770,GEMD 39,NLP,NLP,NLP,61,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,33770,HCA FLORIDA LARGO HOSPITAL,NLP,NLP,NLP,28,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,33770,GEMD 39,NLP,NLP,NLP,66,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,33770,HCA FLORIDA LARGO HOSPITAL,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,33770,GEMD 39,NLP,NLP,NLP,66,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,33770,HCA FLORIDA LARGO HOSPITAL,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,33770,GEMD 39,NLP,NLP,NLP,66,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,33770,HCA FLORIDA LARGO HOSPITAL,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,33770,GEMD 39,NLP,NLP,NLP,66,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,33770,HCA FLORIDA LARGO HOSPITAL,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,33770,GEMD 39,NLP,NLP,NLP,66,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,33770,HCA FLORIDA LARGO HOSPITAL,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,33770,GEMD 39,NLP,NLP,NLP,66,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,33770,HCA FLORIDA LARGO HOSPITAL,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,33770,GEMD 39,NLP,NLP,NLP,66,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,33770,HCA FLORIDA LARGO HOSPITAL,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
