2022-02-18T16-04-21,81650,GRAND RIVER HOSPITAL,02/17/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,81650,GRAND RIVER HOSPITAL,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,81650,GRAND RIVER HOSPITAL,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,81650,GRAND RIVER HOSPITAL,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,81650,GRAND RIVER MEDICAL CENTER,NLP,NLP,NLP,8,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,81650,GRAND RIVER MEDICAL CENTER,NLP,NLP,NLP,8,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,81650,GRAND RIVER MEDICAL CENTER,NLP,NLP,NLP,8,03/09/2022 12:00:00 AM
2022-03-22T09-16-18,81650,GRAND RIVER MEDICAL CENTER,NLP,NLP,NLP,7,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,81650,GRAND RIVER MEDICAL CENTER,NLP,NLP,NLP,7,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,81650,GRAND RIVER MEDICAL CENTER,NLP,NLP,NLP,7,03/16/2022 12:00:00 AM
2022-03-28T06-21-17,81650,GRAND RIVER MEDICAL CENTER,NLP,NLP,NLP,7,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,81650,GRAND RIVER MEDICAL CENTER,NLP,NLP,NLP,7,03/23/2022 12:00:00 AM
