2022-02-18T16-04-21,99508,WEKA COVID Treatment Center,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,30,,
2022-03-03T09-56-49,99508,WEKA COVID Treatment Center,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,54,,
2022-03-03T10-04-44,99508,WEKA COVID Treatment Center,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,54,,
2022-03-08T14-40-56,99508,WEKA COVID Treatment Center,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,54,,
2022-03-16T18-51-35,99508,ALASKA REGIONAL HOSPITAL,NLP,NLP,NLP,18,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,99508,ALASKA NATIVE MEDICAL CENTER,NLP,NLP,NLP,28,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,99508,ALASKA NATIVE MEDICAL CENTER,NLP,NLP,NLP,28,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,99508,ALASKA REGIONAL HOSPITAL,NLP,NLP,NLP,18,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,99508,ALASKA NATIVE MEDICAL CENTER,NLP,NLP,NLP,28,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,99508,ALASKA REGIONAL HOSPITAL,NLP,NLP,NLP,18,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,99508,ALASKA NATIVE MEDICAL CENTER,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,99508,ALASKA REGIONAL HOSPITAL,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,99508,ALASKA NATIVE MEDICAL CENTER,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,99508,ALASKA REGIONAL HOSPITAL,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,99508,ALASKA REGIONAL HOSPITAL,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,99508,ALASKA NATIVE MEDICAL CENTER,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
