2022-02-18T16-04-21,51632,CLARINDA REGIONAL HEALTH CENTER,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,51632,CLARINDA REGIONAL HEALTH CENTER,02/24/2022 12:00:00 AM,02/18/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,51632,CLARINDA REGIONAL HEALTH CENTER,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,51632,CLARINDA REGIONAL HEALTH CENTER,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,51632,CLARINDA REGIONAL HEALTH CENTER,NLP,NLP,NLP,15,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,51632,CLARINDA REGIONAL HEALTH CENTER,NLP,NLP,NLP,15,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,51632,CLARINDA REGIONAL HEALTH CENTER,NLP,NLP,NLP,15,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,51632,CLARINDA REGIONAL HEALTH CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,51632,CLARINDA REGIONAL HEALTH CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,51632,CLARINDA REGIONAL HEALTH CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,51632,CLARINDA REGIONAL HEALTH CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,51632,CLARINDA REGIONAL HEALTH CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,51632,CLARINDA REGIONAL HEALTH CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,51632,CLARINDA REGIONAL HEALTH CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,51632,CLARINDA REGIONAL HEALTH CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,51632,CLARINDA REGIONAL HEALTH CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,51632,CLARINDA REGIONAL HEALTH CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
