2022-02-18T16-04-21,11576,St. Francis Hospital - Roslyn,02/16/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,11576,St. Francis Hospital - Roslyn,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-03T10-04-44,11576,St. Francis Hospital - Roslyn,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,11576,St. Francis Hospital - Roslyn,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,78,,
2022-03-16T18-51-35,11576,"ST FRANCIS HOSPITAL, ROSLYN",NLP,NLP,NLP,39,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,11576,"ST FRANCIS HOSPITAL, ROSLYN",NLP,NLP,NLP,39,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,11576,"ST FRANCIS HOSPITAL, ROSLYN",NLP,NLP,NLP,39,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,11576,"ST FRANCIS HOSPITAL, ROSLYN",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,11576,"ST FRANCIS HOSPITAL, ROSLYN",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,11576,"ST FRANCIS HOSPITAL, ROSLYN",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,11576,"ST FRANCIS HOSPITAL, ROSLYN",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,11576,"ST FRANCIS HOSPITAL, ROSLYN",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,11576,"ST FRANCIS HOSPITAL, ROSLYN",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,11576,"ST FRANCIS HOSPITAL, ROSLYN",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,11576,"ST FRANCIS HOSPITAL, ROSLYN",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,11576,"ST FRANCIS HOSPITAL, ROSLYN",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,11576,"ST FRANCIS HOSPITAL, ROSLYN",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,11576,"ST FRANCIS HOSPITAL, ROSLYN",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,11576,"ST FRANCIS HOSPITAL, ROSLYN",NLP,NLP,NLP,81,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,11576,"ST FRANCIS HOSPITAL, ROSLYN",NLP,NLP,NLP,81,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,11576,"ST FRANCIS HOSPITAL, ROSLYN",NLP,NLP,NLP,81,03/23/2022 12:00:00 AM
