2022-02-18T16-04-21,71635,ASHLEY COUNTY MED CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-03-03T09-56-49,71635,ASHLEY COUNTY MED CENTER,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,42,,
2022-03-03T10-04-44,71635,ASHLEY COUNTY MED CENTER,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,42,,
2022-03-08T14-40-56,71635,ASHLEY COUNTY MED CENTER,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,42,,
2022-03-16T18-51-35,71635,ASHLEY COUNTY MEDICAL CENTER,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,71635,ASHLEY COUNTY MEDICAL CENTER,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,71635,ASHLEY COUNTY MEDICAL CENTER,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,71635,ASHLEY COUNTY MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,71635,ASHLEY COUNTY MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,71635,ASHLEY COUNTY MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,71635,ASHLEY COUNTY MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,71635,ASHLEY COUNTY MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,71635,ASHLEY COUNTY MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,71635,ASHLEY COUNTY MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,71635,ASHLEY COUNTY MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,71635,ASHLEY COUNTY MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,71635,ASHLEY COUNTY MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,71635,ASHLEY COUNTY MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,71635,ASHLEY COUNTY MEDICAL CENTER,NLP,NLP,NLP,35,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,71635,ASHLEY COUNTY MEDICAL CENTER,NLP,NLP,NLP,35,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,71635,ASHLEY COUNTY MEDICAL CENTER,NLP,NLP,NLP,35,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,71635,ASHLEY COUNTY MEDICAL CENTER,NLP,NLP,NLP,35,03/23/2022 12:00:00 AM
