2022-02-18T16-04-21,28546,STARMED HEALTHCARE - JACKSONVILLE,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-03-03T09-56-49,28546,STARMED HEALTHCARE - JACKSONVILLE,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,96,,
2022-03-03T10-04-44,28546,STARMED HEALTHCARE - JACKSONVILLE,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,96,,
2022-03-08T14-40-56,28546,STARMED HEALTHCARE - JACKSONVILLE,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,270,,
2022-03-18T11-17-38,28546,Coastal Carolina Internal Medicine,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,28546,Coastal Carolina Internal Medicine,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,28546,Coastal Carolina Internal Medicine,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,28546,Coastal Carolina Internal Medicine,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,28546,Coastal Carolina Internal Medicine,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,28546,Coastal Carolina Internal Medicine,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,28546,Coastal Carolina Internal Medicine,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,28546,Coastal Carolina Internal Medicine,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,28546,Coastal Carolina Internal Medicine,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,28546,Coastal Carolina Internal Medicine,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,28546,Coastal Carolina Internal Medicine,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,28546,Coastal Carolina Internal Medicine,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,28546,Coastal Carolina Internal Medicine,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,28546,Coastal Carolina Internal Medicine,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,28546,Coastal Carolina Internal Medicine,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,28546,Coastal Carolina Internal Medicine,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,28546,Coastal Carolina Internal Medicine,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,28546,Coastal Carolina Internal Medicine,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
