2022-02-18T16-04-21,55904,OLMSTED MEDICAL CENTER - HOSPITAL,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,55904,OLMSTED MEDICAL CENTER - HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,55904,OLMSTED MEDICAL CENTER - HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,55904,OLMSTED MEDICAL CENTER - HOSPITAL,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,42,,
2022-03-16T18-51-35,55904,OLMSTED MEDICAL CENTER,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,55904,OLMSTED MEDICAL CENTER,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,55904,OLMSTED MEDICAL CENTER,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,55904,OLMSTED MEDICAL CENTER,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,55904,OLMSTED MEDICAL CENTER,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,55904,OLMSTED MEDICAL CENTER,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,55904,OLMSTED MEDICAL CENTER,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,55904,OLMSTED MEDICAL CENTER,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,55904,OLMSTED MEDICAL CENTER,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,55904,OLMSTED MEDICAL CENTER,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
