2022-02-18T16-04-21,45429,KHN GRANDVIEW INFUSION CENTER,02/16/2022 12:00:00 AM,02/17/2022 12:00:00 AM,54,,
2022-03-03T09-56-49,45429,KHN GRANDVIEW INFUSION CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,102,,
2022-03-03T10-04-44,45429,KHN GRANDVIEW INFUSION CENTER,03/02/2022 12:00:00 AM,02/25/2022 12:00:00 AM,132,,
2022-03-08T14-40-56,45429,KHN GRANDVIEW INFUSION CENTER,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,132,,
2022-03-16T18-51-35,45429,KETTERING MEDICAL CENTER,NLP,NLP,NLP,269,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,45429,KETTERING MEDICAL CENTER,NLP,NLP,NLP,269,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,45429,KETTERING MEDICAL CENTER,NLP,NLP,NLP,269,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,45429,KETTERING MEDICAL CENTER,NLP,NLP,NLP,282,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,45429,KETTERING MEDICAL CENTER,NLP,NLP,NLP,282,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,45429,KETTERING MEDICAL CENTER,NLP,NLP,NLP,282,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,45429,KETTERING MEDICAL CENTER,NLP,NLP,NLP,282,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,45429,KETTERING MEDICAL CENTER,NLP,NLP,NLP,282,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,45429,KETTERING MEDICAL CENTER,NLP,NLP,NLP,282,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,45429,KETTERING MEDICAL CENTER,NLP,NLP,NLP,282,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,45429,KETTERING MEDICAL CENTER,NLP,NLP,NLP,282,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,45429,KETTERING MEDICAL CENTER,NLP,NLP,NLP,282,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,45429,KETTERING MEDICAL CENTER,NLP,NLP,NLP,282,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,45429,KETTERING MEDICAL CENTER,NLP,NLP,NLP,282,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,45429,KETTERING MEDICAL CENTER,NLP,NLP,NLP,280,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,45429,KETTERING HEALTH MAIN CAMPUS,NLP,NLP,NLP,280,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,45429,KETTERING HEALTH MAIN CAMPUS,NLP,NLP,NLP,280,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,45429,KETTERING HEALTH MAIN CAMPUS,NLP,NLP,NLP,280,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,45429,KETTERING HEALTH MAIN CAMPUS,NLP,NLP,NLP,280,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,45429,KETTERING HEALTH MAIN CAMPUS,NLP,NLP,NLP,280,03/23/2022 12:00:00 AM
