2022-02-18T16-04-21,64468,MOSAIC MEDICAL CENTER MARYVILLE,02/16/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,64468,MOSAIC MEDICAL CENTER MARYVILLE,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,48,,
2022-03-03T10-04-44,64468,MOSAIC MEDICAL CENTER MARYVILLE,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,48,,
2022-03-08T14-40-56,64468,MOSAIC MEDICAL CENTER MARYVILLE,03/08/2022 12:00:00 AM,03/02/2022 12:00:00 AM,54,,
2022-03-16T18-51-35,64468,MOSAIC MEDICAL CENTER - MARYVILLE,NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,64468,MOSAIC MEDICAL CENTER - MARYVILLE,NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,64468,MOSAIC MEDICAL CENTER - MARYVILLE,NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,64468,MOSAIC MEDICAL CENTER - MARYVILLE,NLP,NLP,NLP,102,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,64468,MOSAIC MEDICAL CENTER - MARYVILLE,NLP,NLP,NLP,102,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,64468,MOSAIC MEDICAL CENTER - MARYVILLE,NLP,NLP,NLP,102,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,64468,MOSAIC MEDICAL CENTER - MARYVILLE,NLP,NLP,NLP,102,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,64468,MOSAIC MEDICAL CENTER - MARYVILLE,NLP,NLP,NLP,102,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,64468,MOSAIC MEDICAL CENTER - MARYVILLE,NLP,NLP,NLP,102,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,64468,MOSAIC MEDICAL CENTER - MARYVILLE,NLP,NLP,NLP,102,03/16/2022 12:00:00 AM
