2022-02-18T16-04-21,10016,NYU LANGONE -TISCH HOSPITAL,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-02-18T16-04-21,10016,NYC HEALTH + HOSPITALS/BELLEVUE,02/17/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,10016,NYC HEALTH + HOSPITALS/BELLEVUE,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,10016,NYU LANGONE -TISCH HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,66,,
2022-03-03T10-04-44,10016,NYU LANGONE -TISCH HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,66,,
2022-03-03T10-04-44,10016,NYC HEALTH + HOSPITALS/BELLEVUE,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,6,,
2022-03-08T14-40-56,10016,NYU LANGONE -TISCH HOSPITAL,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,84,,
2022-03-08T14-40-56,10016,NYC HEALTH + HOSPITALS/BELLEVUE,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,6,,
2022-03-16T18-51-35,10016,BELLEVUE HOSPITAL CENTER,NLP,NLP,NLP,125,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,10016,NYU LANGONE HOSPITALS,NLP,NLP,NLP,340,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,10016,NYU LANGONE HOSPITALS,NLP,NLP,NLP,340,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,10016,Mannvin Medical PC,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,10016,BELLEVUE HOSPITAL CENTER,NLP,NLP,NLP,125,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,10016,NYU LANGONE HOSPITALS,NLP,NLP,NLP,340,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,10016,Mannvin Medical PC,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,10016,BELLEVUE HOSPITAL CENTER,NLP,NLP,NLP,125,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,10016,NYU LANGONE HOSPITALS,NLP,NLP,NLP,317,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,10016,BELLEVUE HOSPITAL CENTER,NLP,NLP,NLP,110,03/16/2022 12:00:00 AM
