2022-03-08T14-40-56,80210,Centura HLTH PORTER ADVENTIST HOSP,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,60,,
2022-03-16T18-51-35,80210,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,NLP,NLP,NLP,8,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,80210,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,NLP,NLP,NLP,8,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,80210,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,NLP,NLP,NLP,8,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,80210,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,NLP,NLP,NLP,81,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,80210,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,NLP,NLP,NLP,81,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,80210,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,NLP,NLP,NLP,81,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,80210,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,NLP,NLP,NLP,81,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,80210,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,NLP,NLP,NLP,81,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,80210,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,NLP,NLP,NLP,81,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,80210,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,NLP,NLP,NLP,81,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,80210,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,NLP,NLP,NLP,81,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,80210,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,NLP,NLP,NLP,81,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,80210,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,NLP,NLP,NLP,81,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,80210,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,NLP,NLP,NLP,81,03/16/2022 12:00:00 AM
2022-03-25T08-10-53,80210,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,NLP,NLP,NLP,126,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,80210,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,NLP,NLP,NLP,126,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,80210,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,NLP,NLP,NLP,126,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,80210,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,NLP,NLP,NLP,126,03/23/2022 12:00:00 AM
