2022-02-18T16-04-21,30606,STMADMIN,02/17/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,30606,STMADMIN,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,84,,
2022-03-03T10-04-44,30606,STMADMIN,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,84,,
2022-03-08T14-40-56,30606,STMADMIN,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,84,,
2022-03-16T18-51-35,30606,Piedmont Athens Regional Medical Center,NLP,NLP,NLP,60,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,146,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,30606,Piedmont Athens Regional Medical Center,NLP,NLP,NLP,60,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,146,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,30606,Piedmont Athens Regional Medical Center,NLP,NLP,NLP,60,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,146,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,59,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,59,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,59,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,59,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,59,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,30606,ST MARY'S HOSPITAL,NLP,NLP,NLP,218,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,30606,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,59,03/16/2022 12:00:00 AM
