2022-02-18T16-04-21,13676,Canton-Potsdam Hospital,02/16/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,13676,Canton-Potsdam Hospital,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,60,,
2022-03-03T10-04-44,13676,Canton-Potsdam Hospital,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,60,,
2022-03-08T14-40-56,13676,Canton-Potsdam Hospital,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,84,,
2022-03-16T18-51-35,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,100,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,100,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,100,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,97,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,97,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,97,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,97,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,97,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,97,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,97,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,97,03/16/2022 12:00:00 AM
