2022-02-18T16-04-21,54703,MCHS EAU CLAIRE HOSPITAL,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,30,,
2022-03-03T09-56-49,54703,MCHS EAU CLAIRE HOSPITAL,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,150,,
2022-03-03T10-04-44,54703,MCHS EAU CLAIRE HOSPITAL,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,150,,
2022-03-08T14-40-56,54703,MCHS EAU CLAIRE HOSPITAL,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,330,,
2022-03-16T18-51-35,54703,MAYO CLINIC HEALTH SYSTEM IN EAU CLAIRE,NLP,NLP,NLP,452,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,54703,MAYO CLINIC HEALTH SYSTEM IN EAU CLAIRE,NLP,NLP,NLP,452,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,54703,MAYO CLINIC HEALTH SYSTEM IN EAU CLAIRE,NLP,NLP,NLP,452,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,54703,MAYO CLINIC HEALTH SYSTEM IN EAU CLAIRE,NLP,NLP,NLP,1002,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,54703,MAYO CLINIC HEALTH SYSTEM IN EAU CLAIRE,NLP,NLP,NLP,1002,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,54703,MAYO CLINIC HEALTH SYSTEM IN EAU CLAIRE,NLP,NLP,NLP,1002,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,54703,MAYO CLINIC HEALTH SYSTEM IN EAU CLAIRE,NLP,NLP,NLP,1002,03/16/2022 12:00:00 AM
