2022-02-18T16-04-21,28052,StarMed Healthcare Gaston,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-03-03T09-56-49,28052,StarMed Healthcare Gaston,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,96,,
2022-03-03T10-04-44,28052,StarMed Healthcare Gaston,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,96,,
2022-03-08T14-40-56,28052,StarMed Healthcare Gaston,03/02/2022 12:00:00 AM,02/24/2022 12:00:00 AM,192,,
2022-03-16T18-51-35,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,28052,Gaston County Jail,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,28052,Gaston County Jail,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,28052,Gaston County Jail,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,28052,Gaston County Jail,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,28052,Gaston County Jail,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,28052,Gaston County Jail,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,28052,Gaston County Jail,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,28052,Gaston County Jail,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,28052,Gaston County Jail,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,28052,Gaston County Jail,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,28052,Gaston County Jail,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,28052,Gaston County Jail,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,28052,Gaston County Jail,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,28052,Gaston County Jail,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,28052,Gaston County Jail,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,28052,Gaston County Jail,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,28052,CAROMONT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,39,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,28052,Gaston County Jail,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
