2022-02-18T16-04-21,41230,THREE RIVERS MEDICAL CENTER 100282,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,41230,THREE RIVERS MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,30,,
2022-03-03T10-04-44,41230,THREE RIVERS MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,41230,THREE RIVERS MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,41230,THREE RIVERS MEDICAL CENTER,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,41230,THREE RIVERS MEDICAL CENTER,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,41230,THREE RIVERS MEDICAL CENTER,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,41230,THREE RIVERS MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,41230,THREE RIVERS MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,41230,THREE RIVERS MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,41230,THREE RIVERS MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,41230,THREE RIVERS MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,41230,THREE RIVERS MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,41230,THREE RIVERS MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,41230,THREE RIVERS MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,41230,THREE RIVERS MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,41230,THREE RIVERS MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,41230,THREE RIVERS MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,41230,THREE RIVERS MEDICAL CENTER,NLP,NLP,NLP,3,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,41230,THREE RIVERS MEDICAL CENTER,NLP,NLP,NLP,3,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,41230,THREE RIVERS MEDICAL CENTER,NLP,NLP,NLP,3,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,41230,THREE RIVERS MEDICAL CENTER,NLP,NLP,NLP,3,03/23/2022 12:00:00 AM
