2022-02-18T16-04-21,04856,PEN BAY MEDICAL CENTER,02/17/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,04856,PEN BAY MEDICAL CENTER,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,30,,
2022-03-03T10-04-44,04856,PEN BAY MEDICAL CENTER,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,04856,PEN BAY MEDICAL CENTER,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,48,,
2022-03-16T18-51-35,04856,PENOBSCOT BAY MEDICAL CENTER,NLP,NLP,NLP,17,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,04856,PENOBSCOT BAY MEDICAL CENTER,NLP,NLP,NLP,17,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,04856,PENOBSCOT BAY MEDICAL CENTER,NLP,NLP,NLP,17,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,04856,PENOBSCOT BAY MEDICAL CENTER,NLP,NLP,NLP,32,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,04856,PENOBSCOT BAY MEDICAL CENTER,NLP,NLP,NLP,32,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,04856,PENOBSCOT BAY MEDICAL CENTER,NLP,NLP,NLP,32,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,04856,PENOBSCOT BAY MEDICAL CENTER,NLP,NLP,NLP,32,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,04856,PENOBSCOT BAY MEDICAL CENTER,NLP,NLP,NLP,32,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,04856,PENOBSCOT BAY MEDICAL CENTER,NLP,NLP,NLP,32,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,04856,PENOBSCOT BAY MEDICAL CENTER,NLP,NLP,NLP,32,03/16/2022 12:00:00 AM
