2022-02-18T16-04-21,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,02/17/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,66,,
2022-03-03T10-04-44,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,66,,
2022-03-08T14-40-56,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,66,,
2022-03-16T18-51-35,20007,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,NLP,NLP,NLP,113,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,20007,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,NLP,NLP,NLP,113,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,20007,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,NLP,NLP,NLP,113,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,20007,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,NLP,NLP,NLP,112,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,20007,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,NLP,NLP,NLP,112,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,20007,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,NLP,NLP,NLP,112,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,20007,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,NLP,NLP,NLP,112,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,20007,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,NLP,NLP,NLP,112,03/16/2022 12:00:00 AM
