2022-02-18T16-04-21,70601,LAKE CHARLES MEMORIAL HOSPITAL,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-02-18T16-04-21,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,18,,
2022-03-03T09-56-49,70601,LAKE CHARLES MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,60,,
2022-03-03T10-04-44,70601,LAKE CHARLES MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,60,,
2022-03-03T10-04-44,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,70601,LAKE CHARLES MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,60,,
2022-03-16T18-51-35,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,39,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,39,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,39,03/09/2022 12:00:00 AM
2022-03-24T13-46-29,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
