2022-03-03T09-56-49,39819,MAINSTREET FAMILY CARE,02/23/2022 12:00:00 AM,,24,,
2022-03-03T10-04-44,39819,MAINSTREET FAMILY CARE,03/02/2022 12:00:00 AM,03/01/2022 12:00:00 AM,48,,
2022-03-08T14-40-56,39819,MAINSTREET FAMILY CARE,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,48,,
2022-03-16T18-51-35,39819,Memorial Hospital and Manor,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,39819,Memorial Hospital and Manor,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,39819,Memorial Hospital and Manor,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,39819,MEMORIAL HOSPITAL AND MANOR,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,39819,MEMORIAL HOSPITAL AND MANOR,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,39819,MEMORIAL HOSPITAL AND MANOR,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,39819,MEMORIAL HOSPITAL AND MANOR,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,39819,MEMORIAL HOSPITAL AND MANOR,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,39819,MEMORIAL HOSPITAL AND MANOR,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,39819,MEMORIAL HOSPITAL AND MANOR,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,39819,MEMORIAL HOSPITAL AND MANOR,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,39819,MEMORIAL HOSPITAL AND MANOR,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,39819,MEMORIAL HOSPITAL AND MANOR,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,39819,MEMORIAL HOSPITAL AND MANOR,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,39819,MainStreet Family Care - Bainbridge,NLP,NLP,NLP,72,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,39819,MEMORIAL HOSPITAL AND MANOR,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,39819,MEMORIAL HOSPITAL AND MANOR,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,39819,MainStreet Family Care - Bainbridge,NLP,NLP,NLP,72,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,39819,MEMORIAL HOSPITAL AND MANOR,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,39819,MainStreet Family Care - Bainbridge,NLP,NLP,NLP,72,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,39819,MEMORIAL HOSPITAL AND MANOR,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,39819,MainStreet Family Care - Bainbridge,NLP,NLP,NLP,72,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,39819,MEMORIAL HOSPITAL AND MANOR,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,39819,MainStreet Family Care - Bainbridge,NLP,NLP,NLP,72,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,39819,MainStreet Family Care - Bainbridge,NLP,NLP,NLP,72,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,39819,MEMORIAL HOSPITAL AND MANOR,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,39819,MainStreet Family Care - Bainbridge,NLP,NLP,NLP,72,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,39819,MEMORIAL HOSPITAL AND MANOR,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,39819,MainStreet Family Care - Bainbridge,NLP,NLP,NLP,72,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,39819,MEMORIAL HOSPITAL AND MANOR,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,39819,MEMORIAL HOSPITAL AND MANOR,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
