2022-02-18T16-04-21,22908,UVA HEALTH SYSTEM,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,66,,
2022-03-03T09-56-49,22908,UVA HEALTH SYSTEM,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,102,,
2022-03-03T10-04-44,22908,UVA HEALTH SYSTEM,03/01/2022 12:00:00 AM,02/24/2022 12:00:00 AM,126,,
2022-03-08T14-40-56,22908,UVA HEALTH SYSTEM,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,126,,
2022-03-16T18-51-35,22908,UNIVERSITY OF VIRGINIA MEDICAL CENTER,NLP,NLP,NLP,115,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,22908,UNIVERSITY OF VIRGINIA MEDICAL CENTER,NLP,NLP,NLP,115,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,22908,UNIVERSITY OF VIRGINIA MEDICAL CENTER,NLP,NLP,NLP,115,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,22908,UNIVERSITY OF VIRGINIA MEDICAL CENTER,NLP,NLP,NLP,114,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,22908,UNIVERSITY OF VIRGINIA MEDICAL CENTER,NLP,NLP,NLP,114,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,22908,UNIVERSITY OF VIRGINIA MEDICAL CENTER,NLP,NLP,NLP,114,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,22908,UNIVERSITY OF VIRGINIA MEDICAL CENTER,NLP,NLP,NLP,114,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,22908,UNIVERSITY OF VIRGINIA MEDICAL CENTER,NLP,NLP,NLP,114,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,22908,UNIVERSITY OF VIRGINIA MEDICAL CENTER,NLP,NLP,NLP,114,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,22908,UNIVERSITY OF VIRGINIA MEDICAL CENTER,NLP,NLP,NLP,114,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,22908,UNIVERSITY OF VIRGINIA MEDICAL CENTER,NLP,NLP,NLP,114,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,22908,UNIVERSITY OF VIRGINIA MEDICAL CENTER,NLP,NLP,NLP,114,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,22908,UNIVERSITY OF VIRGINIA MEDICAL CENTER,NLP,NLP,NLP,114,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,22908,UNIVERSITY OF VIRGINIA MEDICAL CENTER,NLP,NLP,NLP,114,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,22908,UNIVERSITY OF VIRGINIA MEDICAL CENTER,NLP,NLP,NLP,113,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,22908,UNIVERSITY OF VIRGINIA MEDICAL CENTER,NLP,NLP,NLP,113,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,22908,UNIVERSITY OF VIRGINIA MEDICAL CENTER,NLP,NLP,NLP,113,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,22908,UNIVERSITY OF VIRGINIA MEDICAL CENTER,NLP,NLP,NLP,113,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,22908,UNIVERSITY OF VIRGINIA MEDICAL CENTER,NLP,NLP,NLP,113,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,22908,UNIVERSITY OF VIRGINIA MEDICAL CENTER,NLP,NLP,NLP,113,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,22908,UNIVERSITY OF VIRGINIA MEDICAL CENTER,NLP,NLP,NLP,113,03/23/2022 12:00:00 AM
