2022-02-18T16-04-21,46140,HANCOCK REGIONAL HOSPITAL,02/16/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,46140,HANCOCK REGIONAL HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,48,,
2022-03-03T10-04-44,46140,HANCOCK REGIONAL HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,48,,
2022-03-08T14-40-56,46140,HANCOCK REGIONAL HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,48,,
2022-03-16T18-51-35,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,52,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,52,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,52,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
