2022-03-08T14-40-56,08876,RWJBH UNIVERSITY HOSP SOMERSET,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,24,,
2022-03-18T11-17-38,08876,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,08876,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,08876,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,08876,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,08876,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,08876,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,08876,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,08876,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,08876,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,08876,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,08876,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-28T06-21-17,08876,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,08876,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
