2022-02-18T16-04-21,76508,BAYLOR SCOTT WHITE MC TEMPLE,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,72,,
2022-03-03T09-56-49,76508,BAYLOR SCOTT WHITE MC TEMPLE,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,144,,
2022-03-03T10-04-44,76508,BAYLOR SCOTT WHITE MC TEMPLE,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,144,,
2022-03-08T14-40-56,76508,BAYLOR SCOTT WHITE MC TEMPLE,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,144,,
2022-03-16T18-51-35,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,278,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,278,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,278,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,278,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,278,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,278,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,278,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,278,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,278,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,278,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,278,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,278,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,278,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,278,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,275,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,275,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,275,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,275,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,275,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,275,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,275,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,76508,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,NLP,NLP,NLP,275,03/23/2022 12:00:00 AM
