2022-02-18T16-04-21,04102,MAINE MEDICAL CENTER,02/17/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,04102,MAINE MEDICAL CENTER,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,108,,
2022-03-03T10-04-44,04102,MAINE MEDICAL CENTER,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,108,,
2022-03-08T14-40-56,04102,MAINE MEDICAL CENTER,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,108,,
2022-03-16T18-51-35,04102,MAINE MEDICAL CENTER,NLP,NLP,NLP,138,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,04102,MAINE MEDICAL CENTER,NLP,NLP,NLP,138,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,04102,MAINE MEDICAL CENTER,NLP,NLP,NLP,138,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,04102,MAINE MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,04102,MAINE MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,04102,MAINE MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,04102,MAINE MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,04102,MAINE MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,04102,MAINE MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,04102,MAINE MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,04102,MAINE MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,04102,MAINE MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
