2022-02-18T16-04-21,83221,BINGHAM MEMORIAL HOSPITAL,02/16/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,83221,BINGHAM MEMORIAL HOSPITAL,02/24/2022 12:00:00 AM,02/23/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,83221,BINGHAM MEMORIAL HOSPITAL,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,83221,BINGHAM MEMORIAL HOSPITAL,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,36,,
2022-03-16T18-51-35,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,39,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,83221,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,45,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,39,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,83221,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,45,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,39,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,83221,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,45,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,83221,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,83221,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,83221,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,83221,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,83221,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,83221,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,83221,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,83221,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,83221,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,83221,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,83221,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,83221,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,45,03/23/2022 12:00:00 AM
