2022-02-18T16-04-21,20032,United Medical Center Hospital Phar,02/17/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,20032,United Medical Center Hospital Phar,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,20032,United Medical Center Hospital Phar,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,20032,United Medical Center Hospital Phar,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,20032,UNITED MEDICAL CENTER,NLP,NLP,NLP,68,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,20032,UNITED MEDICAL CENTER,NLP,NLP,NLP,68,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,20032,UNITED MEDICAL CENTER,NLP,NLP,NLP,68,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,20032,UNITED MEDICAL CENTER,NLP,NLP,NLP,68,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,20032,UNITED MEDICAL CENTER,NLP,NLP,NLP,68,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,20032,UNITED MEDICAL CENTER,NLP,NLP,NLP,68,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,20032,UNITED MEDICAL CENTER,NLP,NLP,NLP,68,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,20032,UNITED MEDICAL CENTER,NLP,NLP,NLP,68,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,20032,UNITED MEDICAL CENTER,NLP,NLP,NLP,68,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,20032,UNITED MEDICAL CENTER,NLP,NLP,NLP,68,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,20032,UNITED MEDICAL CENTER,NLP,NLP,NLP,68,03/16/2022 12:00:00 AM
