2022-02-18T16-04-21,75235,PARKLAND HEALTH AND HOSPITAL SYSTEM,02/15/2022 12:00:00 AM,02/16/2022 12:00:00 AM,24,,
2022-03-03T09-56-49,75235,PARKLAND HEALTH AND HOSPITAL SYSTEM,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,48,,
2022-03-03T10-04-44,75235,PARKLAND HEALTH AND HOSPITAL SYSTEM,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,48,,
2022-03-08T14-40-56,75235,CHILDRENS MEDICAL CENTER OF DALLAS,03/07/2022 12:00:00 AM,,12,,
2022-03-08T14-40-56,75235,PARKLAND HEALTH AND HOSPITAL SYSTEM,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,48,,
2022-03-16T18-51-35,75235,PARKLAND HEALTH AND HOSPITAL SYSTEM,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,75235,PARKLAND HEALTH AND HOSPITAL SYSTEM,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,75235,PARKLAND HEALTH AND HOSPITAL SYSTEM,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-03-24T13-46-29,75235,PARKLAND HEALTH AND HOSPITAL SYSTEM,NLP,NLP,NLP,49,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,75235,PARKLAND HEALTH AND HOSPITAL SYSTEM,NLP,NLP,NLP,49,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,75235,PARKLAND HEALTH AND HOSPITAL SYSTEM,NLP,NLP,NLP,49,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,75235,PARKLAND HEALTH AND HOSPITAL SYSTEM,NLP,NLP,NLP,49,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,75235,PARKLAND HEALTH AND HOSPITAL SYSTEM,NLP,NLP,NLP,49,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,75235,PARKLAND HEALTH AND HOSPITAL SYSTEM,NLP,NLP,NLP,49,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,75235,PARKLAND HEALTH AND HOSPITAL SYSTEM,NLP,NLP,NLP,49,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,75235,PARKLAND HEALTH AND HOSPITAL SYSTEM,NLP,NLP,NLP,49,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,75235,PARKLAND HEALTH AND HOSPITAL SYSTEM,NLP,NLP,NLP,49,03/23/2022 12:00:00 AM
