2022-02-18T16-04-21,46219,Community Health Network,02/16/2022 12:00:00 AM,,36,,
2022-03-03T09-56-49,46219,Community Health Network,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,72,,
2022-03-03T10-04-44,46219,Community Health Network,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,72,,
2022-03-08T14-40-56,46219,Community Health Network,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,72,,
2022-03-16T18-51-35,46219,COMMUNITY HOSPITAL EAST,NLP,NLP,NLP,109,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,46219,COMMUNITY HOSPITAL EAST,NLP,NLP,NLP,109,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,46219,COMMUNITY HOSPITAL EAST,NLP,NLP,NLP,109,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,46219,COMMUNITY HOSPITAL EAST,NLP,NLP,NLP,104,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,46219,COMMUNITY HOSPITAL EAST,NLP,NLP,NLP,104,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,46219,COMMUNITY HOSPITAL EAST,NLP,NLP,NLP,104,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,46219,COMMUNITY HOSPITAL EAST,NLP,NLP,NLP,104,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,46219,COMMUNITY HOSPITAL EAST,NLP,NLP,NLP,104,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,46219,COMMUNITY HOSPITAL EAST,NLP,NLP,NLP,104,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,46219,COMMUNITY HOSPITAL EAST,NLP,NLP,NLP,104,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,46219,COMMUNITY HOSPITAL EAST,NLP,NLP,NLP,104,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,46219,COMMUNITY HOSPITAL EAST,NLP,NLP,NLP,104,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,46219,COMMUNITY HOSPITAL EAST,NLP,NLP,NLP,104,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,46219,COMMUNITY HOSPITAL EAST,NLP,NLP,NLP,104,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,46219,COMMUNITY HOSPITAL EAST,NLP,NLP,NLP,104,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,46219,COMMUNITY HOSPITAL EAST,NLP,NLP,NLP,104,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,46219,COMMUNITY HOSPITAL EAST,NLP,NLP,NLP,104,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,46219,COMMUNITY HOSPITAL EAST,NLP,NLP,NLP,104,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,46219,COMMUNITY HOSPITAL EAST,NLP,NLP,NLP,104,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,46219,COMMUNITY HOSPITAL EAST,NLP,NLP,NLP,104,03/23/2022 12:00:00 AM
