2022-02-18T16-04-21,63841,STODDARD COUNTY HOSP PHARMACY,02/16/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,63841,STODDARD COUNTY HOSP PHARMACY,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,63841,STODDARD COUNTY HOSP PHARMACY,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,63841,STODDARD COUNTY HOSP PHARMACY,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,63841,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,NLP,NLP,NLP,51,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,63841,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,NLP,NLP,NLP,51,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,63841,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,NLP,NLP,NLP,51,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,63841,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,63841,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,63841,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,63841,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,63841,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,63841,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,63841,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,63841,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,63841,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,63841,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,63841,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,63841,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,NLP,NLP,NLP,51,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,63841,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,NLP,NLP,NLP,51,03/23/2022 12:00:00 AM
