2022-02-18T16-04-21,78704,ST DAVIDS SOUTH AUSTIN MED CTR,02/15/2022 12:00:00 AM,02/16/2022 12:00:00 AM,24,,
2022-03-03T09-56-49,78704,ST DAVIDS SOUTH AUSTIN MED CTR,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,78,,
2022-03-03T10-04-44,78704,ST DAVIDS SOUTH AUSTIN MED CTR,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,78,,
2022-03-08T14-40-56,78704,TOTH ENTERPRISES II VICTORY MEDICAL,03/07/2022 12:00:00 AM,03/04/2022 12:00:00 AM,96,,
2022-03-08T14-40-56,78704,ST DAVIDS SOUTH AUSTIN MED CTR,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,78,,
2022-03-25T08-10-53,78704,VICTORY MEDICAL CENTER PHARMACY,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,78704,VICTORY MEDICAL CENTER PHARMACY,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,78704,VICTORY MEDICAL CENTER PHARMACY,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,78704,VICTORY MEDICAL CENTER PHARMACY,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,78704,VICTORY MEDICAL CENTER PHARMACY,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,78704,VICTORY MEDICAL CENTER PHARMACY,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,78704,VICTORY MEDICAL CENTER PHARMACY,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,78704,VICTORY MEDICAL CENTER PHARMACY,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,78704,ST DAVID'S SOUTH AUSTIN MEDICAL CENTER,NLP,NLP,NLP,45,03/30/2022 12:00:00 AM
