2022-02-18T16-04-21,70508,"OUR LADY OF LOURDES RMC, INC.",02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,30,,
2022-03-03T09-56-49,70508,"OUR LADY OF LOURDES RMC, INC.",02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,90,,
2022-03-03T10-04-44,70508,"OUR LADY OF LOURDES RMC, INC.",02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,90,,
2022-03-08T14-40-56,70508,"OUR LADY OF LOURDES RMC, INC.",02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,90,,
2022-03-18T11-17-38,70508,"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,70508,"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,70508,"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,70508,"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,70508,"Clark Integrated Medical Clinics, LLC",NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,70508,"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,70508,"Clark Integrated Medical Clinics, LLC",NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,70508,"Clark Integrated Medical Clinics, LLC",NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,70508,"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,70508,"Clark Integrated Medical Clinics, LLC",NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,70508,"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,70508,"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,70508,"Clark Integrated Medical Clinics, LLC",NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,70508,"Clark Integrated Medical Clinics, LLC",NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,70508,"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,70508,"Clark Integrated Medical Clinics, LLC",NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,70508,"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,70508,"Clark Integrated Medical Clinics, LLC",NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,70508,"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,70508,"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,23,03/23/2022 12:00:00 AM
