2022-02-18T16-04-21,99654,URGENT CARE AT LAKE LUCILLE,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-02-18T16-04-21,99654,ARCTIC SKYE FAMILY MEDICINE,02/15/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,99654,ARCTIC SKYE FAMILY MEDICINE,02/15/2022 12:00:00 AM,02/22/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,99654,URGENT CARE AT LAKE LUCILLE,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,99654,URGENT CARE AT LAKE LUCILLE,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,99654,ARCTIC SKYE FAMILY MEDICINE,02/15/2022 12:00:00 AM,02/22/2022 12:00:00 AM,6,,
2022-03-08T14-40-56,99654,ARCTIC SKYE FAMILY MEDICINE,02/15/2022 12:00:00 AM,02/22/2022 12:00:00 AM,6,,
2022-03-08T14-40-56,99654,URGENT CARE AT LAKE LUCILLE,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,36,,
2022-03-16T18-51-35,99654,Arctic Skye Family Medicine,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,99654,Arctic Skye Family Medicine,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,99654,Arctic Skye Family Medicine,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-23T08-41-43,99654,Arctic Skye Family Medicine,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,99654,Arctic Skye Family Medicine,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,99654,Arctic Skye Family Medicine,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,99654,URGENT CARE AT LAKE LUCILLE,NLP,NLP,NLP,85,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,99654,Arctic Skye Family Medicine,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,99654,Arctic Skye Family Medicine,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,99654,URGENT CARE AT LAKE LUCILLE,NLP,NLP,NLP,85,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,99654,Arctic Skye Family Medicine,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,99654,URGENT CARE AT LAKE LUCILLE,NLP,NLP,NLP,85,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,99654,Arctic Skye Family Medicine,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,99654,URGENT CARE AT LAKE LUCILLE,NLP,NLP,NLP,85,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,99654,Arctic Skye Family Medicine,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,99654,URGENT CARE AT LAKE LUCILLE,NLP,NLP,NLP,85,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,99654,Arctic Skye Family Medicine,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,99654,URGENT CARE AT LAKE LUCILLE,NLP,NLP,NLP,85,03/23/2022 12:00:00 AM
