2022-02-18T16-04-21,48670,MidMIchigan Medical Center,02/17/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,48670,MidMIchigan Medical Center,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,54,,
2022-03-03T10-04-44,48670,MidMIchigan Medical Center,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,54,,
2022-03-08T14-40-56,48670,MidMIchigan Medical Center,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,54,,
2022-03-16T18-51-35,48670,MIDMICHIGAN MEDICAL CENTER-MIDLAND,NLP,NLP,NLP,104,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,48670,MIDMICHIGAN MEDICAL CENTER-MIDLAND,NLP,NLP,NLP,104,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,48670,MIDMICHIGAN MEDICAL CENTER-MIDLAND,NLP,NLP,NLP,104,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,48670,MIDMICHIGAN MEDICAL CENTER-MIDLAND,NLP,NLP,NLP,102,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,48670,MIDMICHIGAN MEDICAL CENTER-MIDLAND,NLP,NLP,NLP,102,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,48670,MIDMICHIGAN MEDICAL CENTER-MIDLAND,NLP,NLP,NLP,102,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,48670,MIDMICHIGAN MEDICAL CENTER-MIDLAND,NLP,NLP,NLP,102,03/16/2022 12:00:00 AM
