2022-02-18T16-04-21,48075,ASCENSION PROVIDENCE SOUTHFIELD,02/17/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,48075,ASCENSION PROVIDENCE SOUTHFIELD,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,48075,ASCENSION PROVIDENCE SOUTHFIELD,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,48075,ASCENSION PROVIDENCE SOUTHFIELD,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,48075,ASCENSION PROVIDENCE HOSPITAL,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,48075,ASCENSION PROVIDENCE HOSPITAL,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,48075,ASCENSION PROVIDENCE HOSPITAL,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,48075,ASCENSION PROVIDENCE HOSPITAL,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,48075,ASCENSION PROVIDENCE HOSPITAL,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,48075,ASCENSION PROVIDENCE HOSPITAL,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,48075,ASCENSION PROVIDENCE HOSPITAL,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,48075,ASCENSION PROVIDENCE HOSPITAL,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,48075,ASCENSION PROVIDENCE HOSPITAL,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,48075,ASCENSION PROVIDENCE HOSPITAL,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,48075,ASCENSION PROVIDENCE HOSPITAL,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,48075,ASCENSION PROVIDENCE HOSPITAL,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,48075,ASCENSION PROVIDENCE HOSPITAL,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,48075,ASCENSION PROVIDENCE HOSPITAL,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,48075,ASCENSION PROVIDENCE HOSPITAL,NLP,NLP,NLP,25,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,48075,ASCENSION PROVIDENCE HOSPITAL,NLP,NLP,NLP,25,03/23/2022 12:00:00 AM
