2022-02-18T16-04-21,10940,Middletown Medical PC,02/16/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,10940,Middletown Medical PC,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,10940,Middletown Medical PC,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,10940,Middletown Medical PC,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,60,,
2022-03-16T18-51-35,10940,MIDDLETOWN MEDICAL PC,NLP,NLP,NLP,51,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,10940,GARNET HEALTH MEDICAL CENTER,NLP,NLP,NLP,57,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,10940,MIDDLETOWN MEDICAL PC,NLP,NLP,NLP,51,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,10940,GARNET HEALTH MEDICAL CENTER,NLP,NLP,NLP,57,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,10940,MIDDLETOWN MEDICAL PC,NLP,NLP,NLP,51,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,10940,MIDDLETOWN MEDICAL PC,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,10940,GARNET HEALTH MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,10940,MIDDLETOWN MEDICAL PC,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,10940,GARNET HEALTH MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,10940,GARNET HEALTH MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,10940,MIDDLETOWN MEDICAL PC,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,10940,MIDDLETOWN MEDICAL PC,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,10940,GARNET HEALTH MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,10940,GARNET HEALTH MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,10940,MIDDLETOWN MEDICAL PC,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,10940,GARNET HEALTH MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,10940,MIDDLETOWN MEDICAL PC,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,10940,GARNET HEALTH MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,10940,MIDDLETOWN MEDICAL PC,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,10940,MIDDLETOWN MEDICAL PC,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,10940,GARNET HEALTH MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
