2022-02-18T16-04-21,36116,BAPTIST MED CTR SOUTH,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-03-03T09-56-49,36116,BAPTIST MED CTR SOUTH,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,36116,BAPTIST MED CTR SOUTH,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,36116,BAPTIST MED CTR SOUTH,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,60,,
2022-03-16T18-51-35,36116,BAPTIST MEDICAL CENTER SOUTH,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,36116,BAPTIST MEDICAL CENTER SOUTH,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,36116,BAPTIST MEDICAL CENTER SOUTH,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,36116,BAPTIST MEDICAL CENTER SOUTH,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,36116,BAPTIST MEDICAL CENTER SOUTH,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,36116,BAPTIST MEDICAL CENTER SOUTH,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,36116,BAPTIST MEDICAL CENTER SOUTH,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,36116,BAPTIST MEDICAL CENTER SOUTH,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,36116,BAPTIST MEDICAL CENTER SOUTH,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,36116,BAPTIST MEDICAL CENTER SOUTH,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,36116,BAPTIST MEDICAL CENTER SOUTH,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,36116,BAPTIST MEDICAL CENTER SOUTH,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
