2022-02-18T16-04-21,33185,Kendall South Medical Center,02/17/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,33185,Kendall South Medical Center,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,120,,
2022-03-03T10-04-44,33185,Kendall South Medical Center,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,120,,
2022-03-08T14-40-56,33185,Kendall South Medical Center,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,120,,
2022-03-31T08-53-07,33185,KENDALL SOUTH MEDICAL CENTER INC,NLP,NLP,NLP,26,03/02/2022 12:00:00 AM
2022-03-31T15-09-22,33185,KENDALL SOUTH MEDICAL CENTER INC,NLP,NLP,NLP,26,03/02/2022 12:00:00 AM
2022-04-01T06-54-45,33185,KENDALL SOUTH MEDICAL CENTER INC,NLP,NLP,NLP,26,03/02/2022 12:00:00 AM
2022-04-02T06-05-59,33185,KENDALL SOUTH MEDICAL CENTER INC,NLP,NLP,NLP,26,03/02/2022 12:00:00 AM
2022-04-03T05-51-54,33185,KENDALL SOUTH MEDICAL CENTER INC,NLP,NLP,NLP,26,03/02/2022 12:00:00 AM
2022-04-04T05-38-24,33185,KENDALL SOUTH MEDICAL CENTER INC,NLP,NLP,NLP,26,03/02/2022 12:00:00 AM
2022-04-05T05-48-33,33185,KENDALL SOUTH MEDICAL CENTER INC,NLP,NLP,NLP,26,03/02/2022 12:00:00 AM
