2022-02-18T16-04-21,54449,MMC - MARSHFIELD HOSPITAL,02/14/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,54449,MMC - MARSHFIELD HOSPITAL,02/28/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,54449,MMC - MARSHFIELD HOSPITAL,02/28/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,54449,MMC - MARSHFIELD HOSPITAL,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,42,,
2022-03-16T18-51-35,54449,MARSHFIELD MEDICAL CENTER,NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,54449,MARSHFIELD MEDICAL CENTER,NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,54449,MARSHFIELD MEDICAL CENTER,NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,54449,MARSHFIELD MEDICAL CENTER,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,54449,MARSHFIELD MEDICAL CENTER,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,54449,MARSHFIELD MEDICAL CENTER,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,54449,MARSHFIELD MEDICAL CENTER,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,54449,MARSHFIELD MEDICAL CENTER,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,54449,MARSHFIELD MEDICAL CENTER,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
