2022-02-18T16-04-21,54751,MCHS RED CEDAR - MENOMONIE CLINIC,02/14/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-03-03T09-56-49,54751,MCHS RED CEDAR - MENOMONIE CLINIC,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,144,,
2022-03-03T10-04-44,54751,MCHS RED CEDAR - MENOMONIE CLINIC,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,144,,
2022-03-08T14-40-56,54751,MCHS RED CEDAR - MENOMONIE CLINIC,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,342,,
2022-03-16T18-51-35,54751,MAYO CLINIC HEALTH SYSTEM-RED CEDAR,NLP,NLP,NLP,3,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,54751,MAYO CLINIC HEALTH SYSTEM-RED CEDAR,NLP,NLP,NLP,3,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,54751,MAYO CLINIC HEALTH SYSTEM-RED CEDAR,NLP,NLP,NLP,3,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,54751,MAYO CLINIC HEALTH SYSTEM-RED CEDAR,NLP,NLP,NLP,3,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,54751,MAYO CLINIC HEALTH SYSTEM-RED CEDAR,NLP,NLP,NLP,3,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,54751,MAYO CLINIC HEALTH SYSTEM-RED CEDAR,NLP,NLP,NLP,3,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,54751,MAYO CLINIC HEALTH SYSTEM-RED CEDAR,NLP,NLP,NLP,3,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,54751,MAYO CLINIC HEALTH SYSTEM-RED CEDAR,NLP,NLP,NLP,3,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,54751,MAYO CLINIC HEALTH SYSTEM-RED CEDAR,NLP,NLP,NLP,3,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,54751,MAYO CLINIC HEALTH SYSTEM-RED CEDAR,NLP,NLP,NLP,3,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,54751,MAYO CLINIC HEALTH SYSTEM-RED CEDAR,NLP,NLP,NLP,3,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,54751,MAYO CLINIC HEALTH SYSTEM-RED CEDAR,NLP,NLP,NLP,3,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,54751,MAYO CLINIC HEALTH SYSTEM-RED CEDAR,NLP,NLP,NLP,3,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,54751,MAYO CLINIC HEALTH SYSTEM-RED CEDAR,NLP,NLP,NLP,3,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,54751,MAYO CLINIC HEALTH SYSTEM-RED CEDAR,NLP,NLP,NLP,3,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,54751,MAYO CLINIC HEALTH SYSTEM-RED CEDAR,NLP,NLP,NLP,3,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,54751,MAYO CLINIC HEALTH SYSTEM-RED CEDAR,NLP,NLP,NLP,3,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,54751,MAYO CLINIC HEALTH SYSTEM-RED CEDAR,NLP,NLP,NLP,3,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,54751,MAYO CLINIC HEALTH SYSTEM-RED CEDAR,NLP,NLP,NLP,3,03/23/2022 12:00:00 AM
