2022-03-08T14-40-56,68510,CHI HEALTH ST. ELIZABETH,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,68510,CHI HEALTH ST ELIZABETH,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,68510,CHI HEALTH ST ELIZABETH,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,68510,CHI HEALTH ST ELIZABETH,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,68510,CHI HEALTH ST ELIZABETH,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,68510,CHI HEALTH ST ELIZABETH,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,68510,CHI HEALTH ST ELIZABETH,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,68510,CHI HEALTH ST ELIZABETH,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,68510,CHI HEALTH ST ELIZABETH,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,68510,CHI HEALTH ST ELIZABETH,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,68510,CHI HEALTH ST ELIZABETH,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,68510,CHI HEALTH ST ELIZABETH,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,68510,CHI HEALTH ST ELIZABETH,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
