2022-02-18T16-04-21,03246,CONCORD HOSPITAL - LACONIA LRGH,02/16/2022 12:00:00 AM,,30,,
2022-03-03T09-56-49,03246,CONCORD HOSPITAL - LACONIA LRGH,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,48,,
2022-03-03T10-04-44,03246,CONCORD HOSPITAL - LACONIA LRGH,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,48,,
2022-03-08T14-40-56,03246,CONCORD HOSPITAL - LACONIA LRGH,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,48,,
2022-03-16T18-51-35,03246,CONCORD HOSPITAL- LACONIA,NLP,NLP,NLP,44,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,03246,CONCORD HOSPITAL- LACONIA,NLP,NLP,NLP,44,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,03246,CONCORD HOSPITAL- LACONIA,NLP,NLP,NLP,44,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,03246,CONCORD HOSPITAL- LACONIA,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,03246,CONCORD HOSPITAL- LACONIA,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,03246,CONCORD HOSPITAL- LACONIA,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,03246,CONCORD HOSPITAL- LACONIA,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
