2022-02-18T16-04-21,64093,WESTERN MISSOURI MED CENTER,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,64093,WESTERN MISSOURI MED CENTER,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,64093,WESTERN MISSOURI MED CENTER,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,64093,WESTERN MISSOURI MED CENTER,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-25T08-10-53,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,64093,WESTERN MISSOURI MEDICAL CENTER,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
