2022-02-18T16-04-21,71201,ST. FRANCIS MEDICAL CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,36,,
2022-03-03T09-56-49,71201,ST. FRANCIS MEDICAL CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,72,,
2022-03-03T10-04-44,71201,ST. FRANCIS MEDICAL CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,72,,
2022-03-08T14-40-56,71201,ST. FRANCIS MEDICAL CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,72,,
2022-03-16T18-51-35,71201,ST FRANCIS MEDICAL CENTER,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,71201,ST FRANCIS MEDICAL CENTER,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,71201,ST FRANCIS MEDICAL CENTER,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,71201,ST FRANCIS MEDICAL CENTER,NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,71201,ST FRANCIS MEDICAL CENTER,NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,71201,ST FRANCIS MEDICAL CENTER,NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,71201,ST FRANCIS MEDICAL CENTER,NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,71201,ST FRANCIS MEDICAL CENTER,NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,71201,ST FRANCIS MEDICAL CENTER,NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,71201,ST FRANCIS MEDICAL CENTER,NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,71201,ST FRANCIS MEDICAL CENTER,NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,71201,ST FRANCIS MEDICAL CENTER,NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,71201,ST FRANCIS MEDICAL CENTER,NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,71201,ST FRANCIS MEDICAL CENTER,NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,71201,ST FRANCIS MEDICAL CENTER,NLP,NLP,NLP,55,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,71201,ST FRANCIS MEDICAL CENTER,NLP,NLP,NLP,55,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,71201,ST FRANCIS MEDICAL CENTER,NLP,NLP,NLP,55,03/23/2022 12:00:00 AM
