2022-03-08T14-40-56,77060,UNCHARTED TERRITORY MENTAL HEALTH P,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,48,,
2022-03-19T08-15-59,77060,Uncharted Territory Health Services,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,77060,Uncharted Territory Health Services,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,77060,Uncharted Territory Health Services,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,77060,Uncharted Territory Health Services,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,77060,Uncharted Territory Health Services,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,77060,Uncharted Territory Health Services,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,77060,Uncharted Territory Health Services,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,77060,Uncharted Territory Health Services,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,77060,Uncharted Territory Health Services,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-25T08-10-53,77060,Uncharted Territory Health Services,NLP,NLP,NLP,48,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,77060,Uncharted Territory Health Services,NLP,NLP,NLP,48,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,77060,Uncharted Territory Health Services,NLP,NLP,NLP,48,03/23/2022 12:00:00 AM
