2022-02-18T16-04-21,87301,GALLUP INDIAN MEDICAL CENTER,02/16/2022 12:00:00 AM,,48,,
2022-03-03T09-56-49,87301,GALLUP INDIAN MEDICAL CENTER,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,90,,
2022-03-03T10-04-44,87301,GALLUP INDIAN MEDICAL CENTER,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,90,,
2022-03-08T14-40-56,87301,GALLUP INDIAN MEDICAL CENTER,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,96,,
2022-03-08T14-40-56,87301,Rehoboth McKinley Christian Hosp,03/04/2022 12:00:00 AM,,6,,
2022-03-16T18-51-35,87301,GALLUP INDIAN MEDICAL CENTER,NLP,NLP,NLP,147,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,87301,GALLUP INDIAN MEDICAL CENTER,NLP,NLP,NLP,147,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,87301,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,87301,GALLUP INDIAN MEDICAL CENTER,NLP,NLP,NLP,147,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,87301,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,87301,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,87301,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,87301,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,87301,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
