2022-02-18T16-04-21,57117,SANFORD USD MEDICAL CENTER,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,36,,
2022-03-03T09-56-49,57117,SANFORD USD MEDICAL CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,120,,
2022-03-03T10-04-44,57117,SANFORD USD MEDICAL CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,120,,
2022-03-08T14-40-56,57117,SANFORD USD MEDICAL CENTER,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,144,,
2022-03-16T18-51-35,57117,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,NLP,NLP,NLP,31,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,110,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,57117,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,NLP,NLP,NLP,31,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,110,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,57117,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,NLP,NLP,NLP,31,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,110,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,57117,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,57117,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,57117,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,57117,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,57117,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,57117,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,57117,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,57117,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,57117,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
