2022-02-18T16-04-21,65065,LAKE REGIONAL HLTH SYS HOSP,02/16/2022 12:00:00 AM,,36,,
2022-03-03T09-56-49,65065,LAKE REGIONAL HLTH SYS HOSP,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,42,,
2022-03-03T10-04-44,65065,LAKE REGIONAL HLTH SYS HOSP,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,42,,
2022-03-08T14-40-56,65065,LAKE REGIONAL HLTH SYS HOSP,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,42,,
2022-03-16T18-51-35,65065,LAKE REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,41,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,65065,LAKE REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,41,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,65065,LAKE REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,41,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,65065,LAKE REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,65065,LAKE REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,65065,LAKE REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,65065,LAKE REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,65065,LAKE REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,65065,LAKE REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,65065,LAKE REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
