2022-03-08T14-40-56,25301,KANAWHA-CHARLESTON HEALTH DEPT.,03/07/2022 12:00:00 AM,,12,,
2022-03-16T18-51-35,25301,Kanawha Charleston Health Department,NLP,NLP,NLP,11,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,25301,Amber Enterprises,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,25301,CHARLESTON AREA MEDICAL CENTER,NLP,NLP,NLP,167,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,25301,CHARLESTON AREA MEDICAL CENTER,NLP,NLP,NLP,167,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,25301,Amber Enterprises,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,25301,Kanawha Charleston Health Department,NLP,NLP,NLP,11,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,25301,CHARLESTON AREA MEDICAL CENTER,NLP,NLP,NLP,167,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,25301,Amber Enterprises,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,25301,Kanawha Charleston Health Department,NLP,NLP,NLP,11,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,25301,Kanawha Charleston Health Department,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,25301,CHARLESTON AREA MEDICAL CENTER,NLP,NLP,NLP,209,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,25301,Kanawha Charleston Health Department,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,25301,CHARLESTON AREA MEDICAL CENTER,NLP,NLP,NLP,209,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,25301,Kanawha Charleston Health Department,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,25301,CHARLESTON AREA MEDICAL CENTER,NLP,NLP,NLP,209,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,25301,CHARLESTON AREA MEDICAL CENTER,NLP,NLP,NLP,209,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,25301,Kanawha Charleston Health Department,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,25301,Kanawha Charleston Health Department,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,25301,CHARLESTON AREA MEDICAL CENTER,NLP,NLP,NLP,209,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,25301,Kanawha Charleston Health Department,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,25301,CHARLESTON AREA MEDICAL CENTER,NLP,NLP,NLP,209,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,25301,Kanawha Charleston Health Department,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,25301,CHARLESTON AREA MEDICAL CENTER,NLP,NLP,NLP,209,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,25301,Kanawha Charleston Health Department,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,25301,CHARLESTON AREA MEDICAL CENTER,NLP,NLP,NLP,209,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,25301,Kanawha Charleston Health Department,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,25301,CHARLESTON AREA MEDICAL CENTER,NLP,NLP,NLP,209,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,25301,Kanawha Charleston Health Department,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,25301,CHARLESTON AREA MEDICAL CENTER,NLP,NLP,NLP,209,03/16/2022 12:00:00 AM
