2022-03-08T14-40-56,37701,EAST TENNESSEE MEDICAL GROUP,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,37701,East Tennessee Medical Group,NLP,NLP,NLP,34,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,37701,East Tennessee Medical Group,NLP,NLP,NLP,34,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,37701,East Tennessee Medical Group,NLP,NLP,NLP,34,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,37701,East Tennessee Medical Group,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,37701,East Tennessee Medical Group,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,37701,East Tennessee Medical Group,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,37701,East Tennessee Medical Group,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,37701,East Tennessee Medical Group,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,37701,East Tennessee Medical Group,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,37701,East Tennessee Medical Group,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,37701,East Tennessee Medical Group,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,37701,East Tennessee Medical Group,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,37701,East Tennessee Medical Group,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,37701,East Tennessee Medical Group,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,37701,East Tennessee Medical Group,NLP,NLP,NLP,21,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,37701,East Tennessee Medical Group,NLP,NLP,NLP,21,03/23/2022 12:00:00 AM
